topo, k, flow_count, threshold, cm_avg, cm_hit, cm_time, sv_avg, sv_hit, sv_time, cs_avg, cs_hit, cs_time, cm_min, cm_max, sv_min, sv_max, cs_min, cs_max
fattree8,200,200000,0.98 ,0.741489667841674,4000,250.633,21129127582.5554,3972,165462.8754,1.10449148930032,4000,586.5595,9.95520159283225E-05 , 1 ,0 , 9759810247287.3 ,0.00119061374380203 , 10.6363716775021 ,
fattree8,200,200000,0.95 ,0.768885890611928,10000,250.633,27165850907.034,9921,165462.8754,1.15195766841699,10000,586.5595,9.61709179144227E-05 , 1 ,0 , 14107933709083.9 ,0.00119061374380203 , 14.5345309982115 ,
fattree8,400,200000,0.99 ,0.539026125563462,1995,233.6136,0.856245039746775,1968,355846.0384,0.892151258266778,2000,865.2953,0 , 1 ,0 , 1 ,0.000209220399554417 , 6.40062140700608 ,
fattree8,400,200000,0.98 ,0.556807783583375,3991,233.6136,0.857158031591708,3939,355846.0384,0.932090892006443,4000,865.2953,0 , 1 ,0 , 1 ,0.000209220399554417 , 6.63701952151721 ,
fattree8,400,200000,0.95 ,0.592364748056066,9977,233.6136,0.856810705381874,9836,355846.0384,1.0286053858979,10000,865.2953,0 , 1 ,0 , 1 ,6.40856754274159E-05 , 10.0207523235472 ,
fattree8,700,200000,0.99 ,0.328785484178085,1974,244.6494,0.760841965266806,1942,627749.524,0.550821038656707,1999,976.5906,0 , 1 ,0 , 1 ,0 , 3.03672267274791 ,
fattree8,700,200000,0.98 ,0.348827455849302,3939,244.6494,0.761292744432873,3889,627749.524,0.616786709814807,3999,976.5906,0 , 1 ,0 , 1 ,0 , 5.06729637493864 ,
fattree8,700,200000,0.95 ,0.393071573492324,9848,244.6494,0.757822717047171,9706,627749.524,0.793753970177042,9997,976.5906,0 , 1 ,0 , 1 ,0 , 6.83186552859055 ,
fattree8,1000,200000,0.99 ,0.210197103023887,1930,264.7377,0.670455859705832,1920,898255.5999,0.352477018812876,1999,1100.9204,0 , 1 ,0 , 1 ,0 , 3.0558747928793 ,
fattree8,1000,200000,0.98 ,0.226750689362055,3855,264.7377,0.672517919089134,3841,898255.5999,0.409019219273885,3997,1100.9204,0 , 1 ,0 , 1 ,0 , 3.728786795376 ,
fattree8,1000,200000,0.95 ,0.26316991777436,9644,264.7377,0.672168142278844,9587,898255.5999,0.584528144270578,9983,1100.9204,0 , 1 ,0 , 1 ,0 , 6.75937514027921 ,
fattree8,1500,200000,0.99 ,0.111266411590429,1869,517.3726,0.546034811693082,1870,1259048.6802,0.209975412056476,1986,1402.7292,0 , 1 ,0 , 1 ,0 , 1.4896584761046 ,
fattree8,1500,200000,0.98 ,0.119704067613042,3737,517.3726,0.551378825993825,3752,1259048.6802,0.245449707920928,3975,1402.7292,0 , 1 ,0 , 1 ,0 , 2.77494958098984 ,
