sketch,topo,flow,k,threshold,avg,min,max,hit,hitrate,sv_avg,sv_min,sv_max,sv_hit,sv_hitrate
CountMax ,fattree6 ,20000,100,0.9,0.464286731,0,1,1373,0.6865,0.418168186,0,0.999755561,931,0.4655
CountMax ,fattree6 ,20000,100,0.99,0.575403011,0,0.999642163,168,0.84,0.476428532,0,0.99889085,101,0.505
CountMax ,fattree6 ,20000,200,0.3,0.292261135,0,1,5672,0.405142857,0.259842944,0,1,4981,0.355785714
CountMax ,fattree6 ,20000,200,0.5,0.384222987,0,1,5324,0.5324,0.359586868,0,1,4874,0.4874
CountMax ,fattree6 ,20000,200,0.7,0.533748863,0,1,4368,0.728,0.523363181,0,1,4078,0.679666667
CountMax ,fattree6 ,20000,200,0.8,0.637907749,0,1,3397,0.84925,0.620990705,0,1,2916,0.729
CountMax ,fattree6 ,20000,200,0.9,0.750947364,0,1,1896,0.948,0.676802665,0,1,1470,0.735
CountMax ,fattree6 ,20000,200,0.99,0.867465136,0.079697435,1,200,1,0.704960801,0,0.999949084,148,0.74
CountMax ,fattree6 ,20000,400,0.3,0.561327939,0,1,9288,0.663428571,0.434651469,0,1,7608,0.543428571
CountMax ,fattree6 ,20000,400,0.5,0.681769005,0,1,7968,0.7968,0.556785919,0,1,7015,0.7015
CountMax ,fattree6 ,20000,400,0.7,0.821661574,0,1,5577,0.9295,0.763676348,0,1,5555,0.925833333
CountMax ,fattree6 ,20000,400,0.8,0.887179298,0,1,3900,0.975,0.851312202,0,1,3758,0.9395
CountMax ,fattree6 ,20000,400,0.9,0.933093362,0,1,1990,0.995,0.896850405,0,1,1885,0.9425
CountMax ,fattree6 ,20000,400,0.99,0.957021307,0.37705361,1,200,1,0.901939923,0,1,186,0.93
CountMax ,fattree6 ,20000,700,0.3,0.801676347,0,1,12143,0.867357143,0.606011482,0,1,10016,0.715428571
CountMax ,fattree6 ,20000,700,0.5,0.885282514,0,1,9435,0.9435,0.756126609,0,1,8975,0.8975
CountMax ,fattree6 ,20000,700,0.7,0.951673179,0,1,5925,0.9875,0.93086848,0,1,5985,0.9975
CountMax ,fattree6 ,20000,700,0.8,0.972418887,0,1,3991,0.99775,0.965418095,0,1,3989,0.99725
CountMax ,fattree6 ,20000,700,0.9,0.984938356,0,1,1998,0.999,0.979045029,0,1,1991,0.9955
CountMax ,fattree6 ,20000,700,0.99,0.989250201,0.721305203,1,200,1,0.979674399,0,1,198,0.99
CountMax ,fattree6 ,20000,1000,0.3,0.906507285,0,1,13188,0.942,0.803708399,0,1,12626,0.901857143
CountMax ,fattree6 ,20000,1000,0.5,0.952158462,0,1,9780,0.978,0.936110548,0,1,9887,0.9887
CountMax ,fattree6 ,20000,1000,0.7,0.984506763,0,1,5982,0.997,0.986923055,0.66,1,6000,1
CountMax ,fattree6 ,20000,1000,0.8,0.992704486,0,1,3998,0.9995,0.993839862,0.896893138,1,3999,0.99975
CountMax ,fattree6 ,20000,1000,0.9,0.995405993,0.30972973,1,1999,0.9995,0.996650404,0.959824398,1,1999,0.9995
CountMax ,fattree6 ,20000,1000,0.99,0.998597235,0.966275186,1,200,1,0.997826989,0.98424293,1,200,1
CountMax ,fattree6 ,20000,2000,0.3,0.988735873,0,1,13918,0.994142857,0.997665781,0.733333333,1,14000,1
CountMax ,fattree6 ,20000,2000,0.5,0.994982707,0,1,9982,0.9982,0.999536163,0.965217391,1,10000,1
CountMax ,fattree6 ,20000,2000,0.7,0.998472141,0,1,5997,0.9995,0.99991911,0.995628415,1,6000,1
CountMax ,fattree6 ,20000,2000,0.8,0.999440305,0.663451233,1,3999,0.99975,0.999964083,0.998554391,1,3999,0.99975
CountMax ,fattree6 ,20000,2000,0.9,0.999642547,0.729414438,1,1999,0.9995,0.999978861,0.999446443,1,1999,0.9995
CountMax ,fattree6 ,20000,2000,0.99,0.999767167,0.970287978,1,200,1,0.999984006,0.999783831,1,200,1
CountMax ,fattree6 ,20000,4000,0.3,0.999325592,0,1,13996,0.999714286,1,1,1,14000,1
CountMax ,fattree6 ,20000,4000,0.5,0.999455692,0,1,9997,0.9997,1,1,1,10000,1
CountMax ,fattree6 ,20000,4000,0.7,0.999832492,0.207761194,1,6000,1,1,1,1,6000,1
CountMax ,fattree6 ,20000,4000,0.8,0.999976698,0.950452222,1,3999,0.99975,1,1,1,3999,0.99975
CountMax ,fattree6 ,20000,4000,0.9,0.999967578,0.950452222,1,1999,0.9995,1,1,1,1999,0.9995
CountMax ,fattree6 ,20000,4000,0.99,0.999996259,0.999302163,1,200,1,1,1,1,200,1
CountMax ,fattree6 ,20000,7000,0.3,0.999917684,0.588235294,1,14000,1,1,1,1,14000,1
CountMax ,fattree6 ,20000,7000,0.5,0.99999123,0.965333333,1,10000,1,1,1,1,10000,1
CountMax ,fattree6 ,20000,7000,0.7,0.999999338,0.998433829,1,6000,1,1,1,1,6000,1
CountMax ,fattree6 ,20000,7000,0.8,0.999999678,0.999324172,1,3999,0.99975,1,1,1,3999,0.99975
CountMax ,fattree6 ,20000,7000,0.9,0.999999662,0.999324172,1,1999,0.9995,1,1,1,1999,0.9995
CountMax ,fattree6 ,20000,7000,0.99,1,1,1,200,1,1,1,1,200,1
CountMax ,fattree6 ,20000,10000,0.3,0.999993907,0.925,1,14000,1,1,1,1,14000,1
CountMax ,fattree6 ,20000,10000,0.5,0.999998969,0.995073892,1,10000,1,1,1,1,10000,1
CountMax ,fattree6 ,20000,10000,0.7,0.999999828,0.999257885,1,6000,1,1,1,1,6000,1
CountMax ,fattree6 ,20000,10000,0.8,0.999999742,0.999257885,1,3999,0.99975,1,1,1,3999,0.99975
CountMax ,fattree6 ,20000,10000,0.9,0.999999855,0.99971076,1,1999,0.9995,1,1,1,1999,0.9995
CountMax ,fattree6 ,20000,10000,0.99,1,1,1,200,1,1,1,1,200,1
CountMax ,fattree6 ,20000,50000,0.3,1,1,1,14000,1,1,1,1,14000,1
CountMax ,fattree6 ,20000,50000,0.5,1,1,1,10000,1,1,1,1,10000,1
CountMax ,fattree6 ,20000,50000,0.7,1,1,1,6000,1,1,1,1,6000,1
CountMax ,fattree6 ,20000,50000,0.8,1,1,1,3999,0.99975,1,1,1,3999,0.99975
CountMax ,fattree6 ,20000,50000,0.9,1,1,1,1999,0.9995,1,1,1,1999,0.9995
CountMax ,fattree6 ,20000,50000,0.99,1,1,1,200,1,1,1,1,200,1
CountMax ,fattree6 ,30000,10,0.3,0.008312855,0,0.999735799,304,0.01447619,0.012107598,0,0.999873615,379,0.018047619
CountMax ,fattree6 ,30000,10,0.5,0.011543466,0,0.999735799,302,0.020133333,0.016936519,0,0.999873615,378,0.0252
CountMax ,fattree6 ,30000,10,0.7,0.018392763,0,0.999735799,287,0.031888889,0.026559633,0,0.999873615,342,0.038
CountMax ,fattree6 ,30000,10,0.8,0.024061032,0,0.999735799,247,0.041166667,0.033165628,0,0.999873615,258,0.043
CountMax ,fattree6 ,30000,10,0.9,0.034787603,0,0.999564812,174,0.058,0.041125482,0,0.999873615,141,0.047
CountMax ,fattree6 ,30000,10,0.99,0.059676423,0,0.998496643,28,0.093333333,0.056913615,0,0.989198387,19,0.063333333
CountMax ,fattree6 ,30000,50,0.3,0.045540796,0,1,1654,0.078761905,0.056016779,0,0.999709556,1671,0.079571429
CountMax ,fattree6 ,30000,50,0.5,0.063081499,0,1,1638,0.1092,0.078201847,0,0.999709556,1662,0.1108
CountMax ,fattree6 ,30000,50,0.7,0.098456957,0,1,1524,0.169333333,0.12302923,0,0.999709556,1514,0.168222222
CountMax ,fattree6 ,30000,50,0.8,0.129038752,0,0.999588833,1321,0.220166667,0.156482443,0,0.999709556,1187,0.197833333
CountMax ,fattree6 ,30000,50,0.9,0.174773084,0,0.999588833,876,0.292,0.175345864,0,0.999216022,592,0.197333333
CountMax ,fattree6 ,30000,50,0.99,0.242915971,0,0.997455557,119,0.396666667,0.157816547,0,0.992028597,51,0.17
CountMax ,fattree6 ,30000,100,0.3,0.094168523,0,1,3254,0.154952381,0.105220303,0,0.999901483,3133,0.149190476
CountMax ,fattree6 ,30000,100,0.5,0.12995311,0,1,3202,0.213466667,0.146346282,0,0.999901483,3104,0.206933333
CountMax ,fattree6 ,30000,100,0.7,0.198331433,0,0.999957184,2907,0.323,0.228348823,0,0.999901483,2803,0.311444444
CountMax ,fattree6 ,30000,100,0.8,0.255609631,0,0.999957184,2488,0.414666667,0.284401364,0,0.999901483,2134,0.355666667
CountMax ,fattree6 ,30000,100,0.9,0.336606029,0,0.999957184,1624,0.541333333,0.322419727,0,0.999901483,1081,0.360333333
CountMax ,fattree6 ,30000,100,0.99,0.405355723,0,0.999785523,195,0.65,0.324768642,0,0.997216546,105,0.35
CountMax ,fattree6 ,30000,200,0.3,0.196403339,0,1,6118,0.291333333,0.186928154,0,1,5442,0.259142857
CountMax ,fattree6 ,30000,200,0.5,0.263218657,0,1,5866,0.391066667,0.260050579,0,1,5392,0.359466667
CountMax ,fattree6 ,30000,200,0.7,0.385236129,0,1,5105,0.567222222,0.394311849,0,1,4701,0.522333333
CountMax ,fattree6 ,30000,200,0.8,0.481898018,0,1,4170,0.695,0.479398675,0,1,3497,0.582833333
CountMax ,fattree6 ,30000,200,0.9,0.602257542,0,1,2531,0.843666667,0.523949692,0,1,1732,0.577333333
CountMax ,fattree6 ,30000,200,0.99,0.720272269,0,1,281,0.936666667,0.562214542,0,0.999933184,179,0.596666667
CountMax ,fattree6 ,30000,400,0.3,0.392876266,0,1,10580,0.503809524,0.326283829,0,1,9043,0.430619048
CountMax ,fattree6 ,30000,400,0.5,0.503872855,0,1,9661,0.644066667,0.436231518,0,1,8488,0.565866667
CountMax ,fattree6 ,30000,400,0.7,0.665774923,0,1,7471,0.830111111,0.618021873,0,1,7083,0.787
CountMax ,fattree6 ,30000,400,0.8,0.763384437,0,1,5531,0.921833333,0.728758226,0,1,5040,0.84
CountMax ,fattree6 ,30000,400,0.9,0.856132933,0,1,2946,0.982,0.783403767,0,1,2519,0.839666667
CountMax ,fattree6 ,30000,400,0.99,0.91112329,0.351415174,1,300,1,0.810358934,0,0.999856564,254,0.846666667
CountMax ,fattree6 ,30000,700,0.3,0.632395224,0,1,15267,0.727,0.466482137,0,1,12026,0.572666667
CountMax ,fattree6 ,30000,700,0.5,0.748129463,0,1,12717,0.8478,0.596034531,0,1,11022,0.7348
CountMax ,fattree6 ,30000,700,0.7,0.873898594,0,1,8610,0.956666667,0.812476935,0,1,8651,0.961222222
CountMax ,fattree6 ,30000,700,0.8,0.92421909,0,1,5916,0.986,0.896792606,0,1,5833,0.972166667
CountMax ,fattree6 ,30000,700,0.9,0.959291718,0,1,2989,0.996333333,0.935378013,0,1,2921,0.973666667
CountMax ,fattree6 ,30000,700,0.99,0.974647899,0.595119436,1,300,1,0.955802372,0,1,294,0.98
